test_name,NumbaCuda,PyTorch,Tensorflow,PyTorchSpeedup,TensorflowSpeedup
Dexter,,,,,
color_burn,8265.436418,3391.43,9764.09,2.437153772,0.8465137476
color_dodge,8358.854932,3211.22,8683.2,2.603015344,0.9626468275
darken_blend,8273.907694,2730.9,6743.9,3.029736605,1.226872832
dissolve_blend,8566.22803,7.77E+03,1.11E+04,1.10E+00,7.69E-01
lighten_blend,8213.672038,2714.65,6777.14,3.025683619,1.211967296
linear_burn,8451.05137,2689.84,7230.66,3.14184166,1.16878008
linear_dodge,8315.833945,2522.91,6384.7,3.296127862,1.302462754
multiply_blend,8255.241747,2735.63,7035.52,3.017674813,1.173366254
normal_blend_8,8004.424366,2325.77,8971.86,3.441623362,0.8921700033
normal_blend_f,14908.1303,7.60E+03,1.30E+04,1.96E+00,1.15E+00
overlay_blend,8298.83648,4020.57,12724.74,2.064094514,0.6521812218
screen_blend,8339.835817,2932.32,8193.51,2.844108357,1.017858746
,,,,,
,,,,,
Llama,,,,,
matmul,18845.79762,8.20E+03,6.50E+03,2.30E+00,2.90E+00
rmsnorm1,103169.8182,4.20E+04,4.80E+04,2.46E+00,2.15E+00
rmsnorm2,105505.4603,9.20E+04,6.70E+04,1.15E+00,1.57E+00
softmax1,18275.27878,6.10E+03,9.40E+03,3.00E+00,1.94E+00
softmax2,18498.49631,2.20E+04,1.50E+04,8.41E-01,1.23E+00
softmax3,17693.20505,6.30E+03,7.30E+03,2.81E+00,2.42E+00
softmax4,17457.8584,2.30E+04,1.60E+04,7.59E-01,1.09E+00
transformer1,9145.899547,3.20E+03,3.10E+03,2.86E+00,2.95E+00
transformer2,4647.373796,1.60E+03,1.60E+03,2.90E+00,2.90E+00
transformer3,58745.64786,7.20E+04,4.40E+04,8.16E-01,1.34E+00
transformer4,102658.1026,9.30E+04,7.00E+04,1.10E+00,1.47E+00
,,,,,
,,,,,
blas,,,,,
dot,14684.54762,5575.06284,9560.412186,2.633969883,1.535974321
gemv,10547.89785,3661.698798,9611.966265,2.880602266,1.097371501
,,,,,
,,,,,
darknet,,,,,
mag_array,7872.867654,3407.828321,8303.041963,2.310230126,0.9481907581
matrix_add_matrix,15762.49731,6804.404813,3154.92728,2.31651375,4.99615234
mse_array,7823.913738,3120.569615,8326.73558,2.507206922,0.9396135692
mult_add_into_cpu,21604.77127,9651.143612,11067.56752,2.23857111,1.952079464
ol_l2_cpu1,14951.82031,7129.16618,13730.84344,2.097274763,1.088922204
ol_l2_cpu2,14713.39805,6866.736337,7041.861598,2.142706132,2.089418806
scale_array,7821.769996,4704.105804,5054.988948,1.662753842,1.547336716
scale_matrix,7961.029502,4779.519897,2809.084767,1.665654642,2.834029644
sum_array,7768.718907,2996.187576,4356.07277,2.592868006,1.783422665
translate_array,7879.667018,4864.987581,5165.309642,1.619668475,1.525497514
,,,,,
,,,,,
dsp,,,,,
matadd,15360.781,7496.689845,10803.06847,2.049008471,1.421890553
matscal,8005.389056,5156.839217,6911.393735,1.552382907,1.15828867
matsub,15579.70273,6989.467291,10823.79982,2.229025773,1.439393096
vadd,14895.40461,7348.636211,7146.981899,2.026961764,2.084153119
vcopy,7958.86614,4474.708846,2640.896953,1.778633295,3.013698104
vmul,14886.81919,7105.102238,7336.777811,2.095229412,2.029067742
vneg,7660.401284,4801.682697,4783.861275,1.595357663,1.601300883
voffset,7920.470918,4963.131472,5151.393685,1.595861597,1.537539431
vrecip,7751.767858,4790.676835,5856.629884,1.618094504,1.323588482
vscal,7891.840621,4779.378974,5106.162732,1.651227213,1.545552117
vsub,14896.88075,7093.833604,7366.76308,2.099976062,2.022174542
wvec,14885.0742,7300.438517,9578.52577,2.038928781,1.554004714
,,,,,
,,,,,
dspstone,,,,,
mat1x3,15151.12951,5986.815282,10850.58161,2.530749455,1.396342617
n_real_updates,21770.17608,9651.740506,12379.29173,2.255569973,1.758596255
,,,,,
,,,,,
makespeare,,,,,
sum_of_squares,8010.664259,3124.284901,8439.863291,2.563999287,0.9491462104
,,,,,
,,,,,
mathfu,,,,,
diveq,14843.43939,6953.637333,9191.775673,2.134629501,1.614860928
diveq_sca,7894.17797,4841.707869,6467.967319,1.630453176,1.220503688
len,7745.299511,3133.621469,8302.341909,2.471676808,0.9329053894
len_sq,7912.410801,3343.677036,8341.940211,2.3663801,0.9485096513
matmul_sca,8078.027723,5051.055463,7046.149954,1.599275198,1.146445616
muleq,14930.29796,6966.273606,7357.693417,2.143225891,2.029209035
muleq_sca,7913.555663,4878.320887,5160.599392,1.622188422,1.53345669
negate,7892.80587,5043.756901,4703.461037,1.564866433,1.678084672
pluseq,14746.13049,7358.902826,7423.605992,2.003849057,1.986383774
subeq,15128.75677,6946.595899,7354.815427,2.177866251,2.056986598
subeq_sca,7826.680176,4780.415593,5462.26238,1.637238442,1.432864193
,,,,,
,,,,,
simpl_array,,,,,
array_inc,7740.371636,4676.718404,4756.281182,1.655086102,1.627399924
array_sum,7813.102349,2911.940721,4434.019502,2.683125482,1.762081187
cube_in_place,7806.174337,4789.321002,9151.690309,1.629912535,0.8529762343
fourth_in_place,7902.821278,4766.009433,12205.84738,1.658163163,0.6474619119
sum_elts,7703.807812,3003.007407,4097.196629,2.56536424,1.880263143
,,,,,
,,,,,
utdsp,,,,,
fir_small,14863.95537,5575.344117,9682.663077,2.666015775,1.535110253
lmsfir1,15008.11512,5390.972841,9488.35951,2.78393447,1.581739721
lmsfir2,14758.64031,7153.735759,10634.59678,2.063067578,1.387795007
Average Speedup,,,,2.150131712,1.585085345
,,,,,Overall Average Speedup
,,,,,1.867608529